Col0,Col0_HREF,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9_HREF,Col10_SRC
"Haag-Streit Diagnostics on X: """"Congrats to Marc Müller from ...",https://twitter.com/HSDiagnostics/status/1858797470555267439,,,X (formerly Twitter),› HSDiagnostics,› status,"19 Nov 2024 ... Congrats to Marc Müller from Saarland University Eye Clinic, Germany, the runner-up in the HS “Slit Lamp Imaging Competition 2024”!",...,Eye Clinic,https://twitter.com/HSDiagnostics/status/1858797470555267439,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0aWNlNkSU4__sfR9eP6dzCeLYh9avsCPnm8MppJSoPXs8iOtpWAHMjPOM&s
"Nova Eye Medical Ltd (ASX:EYE) on X: """"           Guten Tag, wie geht's ...",https://twitter.com/NovaEyeMedical/status/1802875084371275971,Eye,EYE,X (formerly Twitter),› NovaEyeMedical,› status,"18 Jun 2024 ... Professor Norbert Koerber (Germany) will take to the podium at the upcoming 36th International Congress of German Ophthalmic Surgery (DOC) in Nuremberg, ...",...,Germany,https://twitter.com/NovaEyeMedical/status/1802875084371275971,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRm3P1kfSXddQsfQZCtoA5JdihNfhCKnMaT29Iap57orbT64N-hUe7O9Mk&s
DR DD VERMA (@dd_verma) / X,https://twitter.com/dd_verma,,,X (formerly Twitter),› dd_verma,,"... eye surgeons. Till date we have trained 12 doctors from countries like USA, UK, Germany, Switzerland, Argentina, South Korea,Azerbaijan and Uzbekistan.",eye surgeons,Germany,,
SOE (@soevisionorg) / X,https://twitter.com/soevisionorg,,,X (formerly Twitter),› soevisionorg,,"Dec 5. Why not take time to read the Educational Grant report from Agnieszka Kuligowska who took her observership at Charité Eye Clinic. ... Universität, Dresden, ...",Eye Clinic,,https://twitter.com/soevisionorg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTiABueljpss-u6TlJi_A6PLRu4VgFzQ7l6WTZw45v3ZTh2j1IlZHnbSDk&s
"Haag-Streit UK on X: """"Congratulations to Marc Müller from Saarland ...",https://twitter.com/HS_UK/status/1849397680088445374,,,X (formerly Twitter),› HS_UK,› status,"24 Oct 2024 ... Congratulations to Marc Müller from Saarland University Eye Clinic, Germany for achieving second place in this year's Slit Lamp Imaging ...",...,Eye Clinic,,
Dr SunitaRanaAgarwal (@drsunitaagarwal) / X,https://twitter.com/drsunitaagarwal,,,X (formerly Twitter),› drsunitaagarwal,,eye surgeon +inventor mana autologous DNA treatment + DO + MS + FRSH(London)+FSVH(Germany)+FSLH(USA)+FPORF(USA)+FLSU(USA+MAAO(USA)+ founder Dr.Agarwal ...,eye surgeon,Germany,https://twitter.com/drsunitaagarwal,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTabHKDgpAoMLIeYQGOggYqj4_cQPY3xDh7Pg6fSJoqnjalzq8X8wvSmJxP&s
"Humanity First International on X: """"Thanks to donors in #Germany ...",https://twitter.com/HFI1995/status/1807132475644084242,Germany,,X (formerly Twitter),› HFI1995,› status,29 Jun 2024 ... Thanks to donors in #Germany our @HumanityFirstDE team sponsors free cataract eye #surgery through our mobile unit in #Benin and #Togo.,...,Germany,,
"Middle East Eye on X: """"Ghassan Abu Sittah: HRW calls on Germany ...",https://twitter.com/MiddleEastEye/status/1788955532797108553,Eye,Germany,X (formerly Twitter),› MiddleEastEye,› status,10 May 2024 ... Ghassan Abu Sittah: HRW calls on Germany to explain Europe travel ban on surgeon https://t.co/ZK9tFJeLA1.,...,Germany,https://twitter.com/MiddleEastEye/status/1788955532797108553,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvnuKM38ioHjbpS7Mz1oADQQ6-pjQQl9QsHnN5WlrOY2NlMPyFzkoh5A&s=0
Prabha Eye Clinic (@prabhaeyeclinic) / X,https://twitter.com/prabhaeyeclinic,Eye Clinic,,X (formerly Twitter),› prabhaeyeclinic,,"Prabha Eye Clinic · @prabhaeyeclinic. ·. Aug 26, 2014. A satisfied patient always makes our day! Feedback provided by Jason and Mala Fuller from Germany I ...",Eye Clinic,Germany,https://twitter.com/prabhaeyeclinic,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5ZyYtk4ZeBTjXkXN_DRkkLan_TkNR5qFFjF_t_LxCSGTJfzcx18y7BDc&s
"Humanity First UK on X: """"Look inside @humanityfirstDE new mobile ...",https://twitter.com/HumanityFirstUK/status/872496946354827264,,,X (formerly Twitter),› HumanityFirstUK,› status,7 Jun 2017 ... Look inside @humanityfirstDE new mobile eye surgery unit destined for Benin in the #Germany segment of #HFTelethon17 on Saturday afternoon.,...,eye surgery,,
"Middle East Eye on X: """"Germany detains Gaza surgeon Ghassan ...",https://twitter.com/MiddleEastEye/status/1778775214127505608,Eye,Germany,X (formerly Twitter),› MiddleEastEye,› status,12 Apr 2024 ... Germany detains Gaza surgeon Ghassan Abu Sittah and 'refuses him entry' https://t.co/VfGkG3rfMQ.,...,Germany,https://twitter.com/MiddleEastEye/status/1778775214127505608,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvnuKM38ioHjbpS7Mz1oADQQ6-pjQQl9QsHnN5WlrOY2NlMPyFzkoh5A&s=0
Sameer Kaushal (@drsameerkaushal) / X,https://twitter.com/drsameerkaushal,,,X (formerly Twitter),› drsameerkaushal,,"Head ophthalmologist at Artemis Hospital and PL Memorial Eye Clinic, Gurgaon ... Making Gurgaon the Germany of India in all the wrong ways. Thanks Mr ...",ophthalmologist,Eye Clinic,https://twitter.com/drsameerkaushal,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_VIiQ28Fz7w7m_k3jVLX62pb0iWKblFPuQ6RN3aiyIu9Ny2w2U8cJDbI&s
Ambler Surgical (@AmblerSurgical) / X,https://twitter.com/amblersurgical,Surgical,,X (formerly Twitter),› amblersurgical,,"Nov 14. Today is World Diabetes Day Ambler Surgical proudly supports eye ... Quality, Precision, Reliability Handcrafted in Germany, Geuder ...",Surgical,eye,https://twitter.com/amblersurgical,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_RBOpTN49uTwD81Zd3ZdHlsjLGb814IZSUryOVmo9nT7nqmS3hkUJPWYB&s
ZEISS Medical Technology (@ZEISSmeditec) / X,https://twitter.com/zeissmeditec,,,X (formerly Twitter),› zeissmeditec,,"Jena, Germany zeiss.com/meditec Joined May 2009. 661 Following · 4,256 Followers · Posts · Replies ... eye health and the eye care support. Image.",Germany,eye,https://twitter.com/zeissmeditec,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTaZCeNFPX4NM3PfYFl0gP9ZQcPhspww7fdRivuGtnt3wYvI1HknJzXHQeU&s
"Middle East Eye on X: """"Human Rights Watch has called on Germany ...",https://twitter.com/MiddleEastEye/status/1789701996846420358,Eye,Germany,X (formerly Twitter),› MiddleEastEye,› status,12 May 2024 ... Human Rights Watch has called on Germany to confirm whether it has imposed a year-long ban on prominent British-Palestinian surgeon Ghassan ...,...,Germany,https://twitter.com/MiddleEastEye/status/1789701996846420358,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAItwD2V3n_kXKomHlS08K1hGQPBIHABWRGPHQKgEMQAymzW4Lf_xpJ4_W&s
Custom Surgical (@CustomSurgical) / X,https://twitter.com/customsurgical,Surgical,,X (formerly Twitter),› customsurgical,,"Dec 14, 2021. What makes MicroREC so useful for doctors? We asked dr. Bader Khayat, anterior segment surgeon from Munich, Germany ... ophthalmic #microrecording # ...",doctors,surgeon,https://twitter.com/customsurgical,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRR8DW7EnLCTUWSOK-wzZu8kcLXdTRh23pJadlpY-OWFdUU39ICiGZ72vc&s
"Middle East Eye on X: """"Germany's travel ban against British ...",https://twitter.com/MiddleEastEye/status/1790519840765067724,Eye,Germany's,X (formerly Twitter),› MiddleEastEye,› status,14 May 2024 ... Germany's travel ban against British-Palestinian doctor Ghassan Abu Sitta has been overturned https://t.co/QuhosajR7q.,...,Germany's,https://twitter.com/MiddleEastEye/status/1790519840765067724,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvnuKM38ioHjbpS7Mz1oADQQ6-pjQQl9QsHnN5WlrOY2NlMPyFzkoh5A&s=0
