Col0,Col0_HREF,Col1,Col2,Col3,Col4,Col5,Col6,Col7_HREF,Col8_SRC,
Ambler Surgical (@AmblerSurgical) / X,https://twitter.com/amblersurgical,X (formerly Twitter),› amblersurgical,"Quality, Precision, Reliability Handcrafted in Germany, Geuder instruments ... retinal care to your patients. Together, let's keep eyes healthy ...",Germany,retinal,,https://twitter.com/amblersurgical,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_RBOpTN49uTwD81Zd3ZdHlsjLGb814IZSUryOVmo9nT7nqmS3hkUJPWYB&s,
Wacker Chemie (@wackerchemie) / X,https://twitter.com/wackerchemie,X (formerly Twitter),› wackerchemie,We are expanding our specialty silicone manufacturing capacities in China. Learn more in our ... retinal-related vision loss http://wch.ag/9Yof9. Image.,specialty,retinal,,https://twitter.com/wackerchemie,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7elnyXYJMSI9w4fkxUZnCEUA38boqulBl8kBFZdybYCL92wPcofyoKAQ&s,
David A. Merle (@DocDaveAM) / X,https://twitter.com/docdaveam,X (formerly Twitter),› docdaveam,What is driving the new case records in Germany? The people who aren't ... retinal degeneration in retinal explant model. Well done everyone! https ...,Germany,retinal,retinal,https://twitter.com/docdaveam,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGueuGPCPVgtUfKF9HFrIqUyUPPe6N_FO4pDjozAy7iX6KRySaQJvUmDKn&s,
Arshad Khanani (@ArshadKhanani) / X,https://twitter.com/arshadkhanani,X (formerly Twitter),› arshadkhanani,"meeting in Hamburg, Germany! Thanks. @anirvan0419. for the opportunity ... The 40th meeting of American Society of Retina Specialists. @asrsdocs. is off ...",Germany,Retina Specialists,,,,
"Qi Cui, MD PhD (@CuiLab) / X",https://twitter.com/cuilab,X (formerly Twitter),› cuilab,"Nov 2. A century ago, Germany's democracy was hijacked by a bombastic ... retinal disease, achieving 100x sight improvement sustained for 1 year. The ...",Germany's,retinal,,https://twitter.com/cuilab,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGkGfH7hqOhxMrg3bZ5Advf8TIUHjwOVHXV6ZKLZqaGoKvwdxNnBQ2Gyw&s,
Springer Nature Surgery (@SpringerSurgery) / X,https://twitter.com/springersurgery,X (formerly Twitter),› springersurgery,"Springer Nature in Germany, the UK & the US has been honoured with the ... retinal pigment alterations -chronic central serouschorioretinopathy.",Germany,retinal,,https://twitter.com/springersurgery,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkQSeNq2w-iEXBNin-au0OKF1JRv1dutOgJsBBkfp2Lagzi2XT7QezgkI&s,
HEINE Optotechnik (@HEINEOpto) / X,https://twitter.com/heineopto,X (formerly Twitter),› heineopto,Quality made in Germany ... Retinal imaging in eye care has become a highly relevant tool for patient ...,Germany,Retinal,,https://twitter.com/heineopto,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKRq__lG_E-Maup0Kwi3h5L9HyJjkUa3_srU_25kE-3Bn9eyAneQEubzHZ&s,
Dr Akhter Uddin (@DrAkhterUddin) / X,https://twitter.com/drakhteruddin,X (formerly Twitter),› drakhteruddin,"Associate Professor Of Ophthalmology,Expert in Phaco& Vitreo Retinal Surgeon, Writer,Founder of Philanthropic organization. ... MBBS, DO,ICO fellow Germany on ...",Retinal Surgeon,Germany,,https://twitter.com/drakhteruddin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQB3WdQVfA16OtRYKmOK4RD_leG9T2lwHFCsBtN-a9Luykv2tOMAMxri4c&s,
Philipp Berens (@CellTypist) / X,https://twitter.com/CellTypist,X (formerly Twitter),› CellTypist,"Our paper """"GABAergic amacrine cells balance biased chromatic information in the mouse retina"""" is now published in @CellReports https://cell.com/cell-reports/f ...",retina,,,https://twitter.com/CellTypist,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQptR6BhByaddMtbkokPbBEcknqHjgRH7zicgmr-4a95ydE_4UX2aq82WkK&s,
OCULUS Surgical (@oculussurgical) / X,https://twitter.com/oculussurgical,X (formerly Twitter),› oculussurgical,"... retina, glaucoma or comprehensive surgeon https://oculus.de/f/tLnY821 ... We are present at the Frankfurt Retina Meeting in Mainz, Germany, which starts tomorrow.",retina,surgeon,Retina,https://twitter.com/oculussurgical,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCLkvdhSJkROJJwnUyMtBg1SbJHhaceqqNTBKNi1boH3Ul8il9EATbz20&s,
