Col0,Col0_HREF,Col1,Col2,Col3,Col4,Col5,Col6_HREF,Col7_SRC
Medevise (@medevise_live) / X,https://twitter.com/medevise_live,X (formerly Twitter),› medevise_live,... ophthalmology #ophthalmologist #innovation #diversity #inclusion #clinicalstudies #eyecare ... German Ophthalmological Society (DOG). #ophthalmology ...,ophthalmology,ophthalmologist,https://twitter.com/medevise_live,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4AkhWgNfMz3fyL_qbYj81xXrL1w6CgJtyXX24YDLYRYczB_h7zIu3mrw&s
SOE (@soevisionorg) / X,https://twitter.com/soevisionorg,X (formerly Twitter),› soevisionorg,"European Society of Ophthalmology Congress (SOE 2025) Lisbon, 7 - 9 June 2025. ... Universität, Dresden, Germany Full report at https://soevision.org/news ...",Ophthalmology,Germany,https://twitter.com/soevisionorg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTiABueljpss-u6TlJi_A6PLRu4VgFzQ7l6WTZw45v3ZTh2j1IlZHnbSDk&s
Yongwei Guo (@YongweiG) / X,https://twitter.com/YongweiG,X (formerly Twitter),› YongweiG,"Dr. Guo is an Ophthalmologist, Summa Cum Laude graduate of the Department of Ophthalmology, University of Cologne, Germany.",Ophthalmologist,Ophthalmology,,
Haag-Streit Diagnostics (@HSDiagnostics) / X,https://twitter.com/hsdiagnostics,X (formerly Twitter),› hsdiagnostics,"#haagstreit #escrs #cataract #refractive #ophthalmologist #ophthalmology #Copenhagen ... Congrats to Marc Müller from Saarland University Eye Clinic, Germany ...",ophthalmologist,ophthalmology,https://twitter.com/hsdiagnostics,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSpS-kJtbtK3Q02N1eejlpgQLBy0nhsQfRJJBvCrvb2o-zGJ2sLq30ZgIs&s
Hanna Spielmann (@HannaSpielmann) / X,https://twitter.com/HannaSpielmann,X (formerly Twitter),› HannaSpielmann,"Ophthalmologist in training. Berlin, Germany Joined March 2018. 83 Following ... #Augenärzte #Berlin #Brandenburg #Ophthalmology #Ophthotwitter #residency. 1.",Ophthalmologist,Germany,https://twitter.com/HannaSpielmann,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRay5JjY7rDp7XLI-ds9o9ovhPUx1vCk8GLMH4vlfXWpKonJIOu_Ip0Hr0&s
Dr.Hadil Mulla (@Dr_Hadil_IM) / X,https://twitter.com/dr_hadil_im,X (formerly Twitter),› dr_hadil_im,"Ophthalmologist at asklepios krankenhouse. Hamburg,Germany. Joined January 2012. 137 Following. 35 Followers.",Ophthalmologist,Germany,https://twitter.com/dr_hadil_im,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpt4ubmUVAXW-6YUjKbp3RbuSAAHJXjHXI8H9XtyxQ6AHikoOR1RfZE0JK&s
"ESCRS on X: """"We have kickstarted the ESCRS surgical simulator ...",https://twitter.com/ESCRSofficial/status/1768567140150292828,X (formerly Twitter),› ESCRSofficial,"15 Mar 2024 ... We have kickstarted the ESCRS surgical simulator training in Bochum, Germany this morning ... Ophthalmology #Ophthalmologist #EyeSurgeon.",...,Germany,https://twitter.com/ESCRSofficial/status/1768567140150292828,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5ocqFmxUUsVyGFSgI_N9ObWYncH5MiCRi2g-jxJDVzJ_cfXmNvBmHLPYI&s
SimulEYE - X,https://twitter.com/simuleye,X (formerly Twitter),› simuleye,... German Ophthalmic Surgeons (DOC) in Nuremberg! We're stoked to socialize with top-notch professionals and Industry players in Germany. Our products are ...,German Ophthalmic,Germany,https://twitter.com/simuleye,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRl9EOCtIF13B2xPi1nUB9FBYTJwWLdFAsk9mnNyTSiaY6UbmQ_15rmdvw&s
"Jobs in Germany on X: """"#Job: #Ophthalmologist - #Munich. We are ...",https://twitter.com/JobsinGermany_/status/1424440906443378699,X (formerly Twitter),› JobsinGermany_,8 Aug 2021 ... Job: #Ophthalmologist - #Munich. We are looking for specialists in ophthalmology m   f   d  for several positions throughout Germany...,...,Ophthalmologist,,
Soheil Adib-Moghaddam (@drsoam1) / X,https://twitter.com/drsoam1,X (formerly Twitter),› drsoam1,"Knowledge Lover, Daydreamer. Founder of Universal Council of Ophthalmology( UCO), Co-founder of Hash-tech, Ophthalmologist ... Germany. I have to express ...",Ophthalmology,Ophthalmologist,https://twitter.com/drsoam1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIX4a2XuDZr6uyuabIpWPX_Uz4PLpWonwC2_-OD7v3En7JIYhIh7JN5tE&s
